DishName,Vegan,Vegetarian,Keto,Pescetarian,Nuts,Dairy,Shellfish,Wheat,Soy,Gluten,Eggs,Fish,ImageLink
Pasta Marinara,T,T,F,T,F,F,F,F,F,T,F,F,https://www.foodiecrush.com/wp-content/uploads/2020/05/Penne-Marinara-Sauce-foodiecrush.com-004.jpg
Fettuccine Alfredo,F,T,F,T,F,T,F,F,F,T,T,F,https://www.modernhoney.com/wp-content/uploads/2018/08/Fettuccine-Alfredo-Recipe-1.jpg
Lasanga,F,F,F,F,F,T,F,F,F,T,F,F,https://www.jessicagavin.com/wp-content/uploads/2017/07/meat-lasagna-1200.jpg
Spaghetti and Meatballs,F,F,F,F,F,F,F,F,F,T,F,F,https://www.onceuponachef.com/images/2019/09/Spaghetti-and-Meatballs.jpg
Buttered Noodles,F,T,F,T,F,F,F,F,F,T,F,F,https://www.simplyrecipes.com/thmb/H5STbv06mOAxVrAeeMnEKeJrZxY=/1067x800/smart/filters:no_upscale()/__opt__aboutcom__coeus__resources__content_migration__simply_recipes__uploads__2015__09__buttered-noodles-horiz-a-120-e0d70b609e06416886bc57c7e010a551.jpg
Cheese Ravioli,F,T,F,T,F,T,F,F,F,T,F,F,
Falafel Wrap,T,T,F,T,F,F,F,T,F,T,F,F,https://static.toiimg.com/photo/62708678.cms
Rice Bowl,F,T,F,T,F,T,F,T,F,T,F,F,https://cdn.loveandlemons.com/wp-content/uploads/2020/04/rice-bowls.jpg
Tacos,F,F,F,F,F,T,F,T,F,T,F,F,https://www.thespruceeats.com/thmb/-3JUqe4gDDWaILPX2-JcO8pxVVc=/3799x2533/filters:no_upscale():max_bytes(150000):strip_icc()/basic-tacos-recipe-with-ground-beef-and-beans-3054098-hero1-42c17bf93d3a4c58a8b967872dda45ba.jpg
Chicken Burrito,F,F,F,F,F,T,F,T,F,T,F,F,https://www.recipetineats.com/wp-content/uploads/2020/02/Chicken-Burritos_2.jpg
Chocolate Cake,F,T,F,T,F,T,F,T,F,T,T,F,https://sallysbakingaddiction.com/wp-content/uploads/2013/04/triple-chocolate-cake-4.jpg
Ice Cream,F,T,F,T,F,T,F,F,F,F,F,F,https://joyfoodsunshine.com/wp-content/uploads/2020/06/homemade-chocolate-ice-cream-recipe-7.jpg
Fruit,T,T,T,T,F,F,F,F,F,F,F,F,https://tastesbetterfromscratch.com/wp-content/uploads/2017/06/Fresh-Fruit-Bowl-1.jpg
