DishName,Vegan,Vegetarian,Keto,Pescetarian,Nuts,Dairy,Shellfish,Wheat,Soy,Gluten,Eggs,Fish,ImageLink
French Fries,T,T,F,T,F,F,F,F,F,F,F,F,"https://www.seriouseats.com/thmb/_BkW9V2wK3Zed-zQAETkRSJS8ac=/1500x1125/filters:fill(auto,1)/__opt__aboutcom__coeus__resources__content_migration__serious_eats__seriouseats.com__2018__04__20180309-french-fries-vicky-wasik-15-5a9844742c2446c7a7be9fbd41b6e27d.jpg"
Chilli Fries,F,F,F,F,F,T,F,F,F,F,F,F,https://belleofthekitchen.com/wp-content/uploads/2021/08/chili-cheese-fries-square-1.jpg
Cheese Pizza,F,T,F,T,F,T,F,T,F,T,F,F,https://sallysbakingaddiction.com/wp-content/uploads/2013/11/Homemade-Pizza-Crust-7.jpg
Pepperoni Pizza,F,F,F,F,F,T,F,T,F,T,F,F,https://sipbitego.com/wp-content/uploads/2021/08/Pepperoni-Pizza-Recipe-Sip-Bite-Go.jpg
Veggie Pizza,F,T,F,T,F,T,F,T,F,T,F,F,https://www.twopeasandtheirpod.com/wp-content/uploads/2021/03/Veggie-Pizza-8.jpg
Caesars Salad,T,T,T,T,F,F,F,F,F,F,F,F,https://natashaskitchen.com/wp-content/uploads/2019/01/Caesar-Salad-Recipe-3.jpg
Garden Salad,T,T,T,T,F,F,F,F,F,F,F,F,https://neighborfoodblog.com/wp-content/uploads/2020/03/garden-salad-2.jpg
Cheeseburger,F,F,F,F,F,T,F,T,F,T,T,F,https://assets.epicurious.com/photos/5c745a108918ee7ab68daf79/master/pass/Smashburger-recipe-120219.jpg
Hamburger,F,F,F,F,F,T,F,T,F,T,T,F,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/165384.jpg?resize=1200:*
Grilled Cheese,F,T,F,T,F,T,F,T,F,T,F,F,https://static01.nyt.com/images/2021/08/30/dining/as-grilled-cheese-sandwich-on-the-grill/as-grilled-cheese-sandwich-on-the-grill-articleLarge.jpg
Tomato Soup,F,T,T,T,F,T,F,F,F,F,F,F,https://kathleenashmore.com/wp-content/uploads/2021/10/IMG_2419-scaled.jpg
Macaroni and Cheese,F,T,F,T,F,T,F,F,F,T,F,F,https://www.lovelesscafe.com/wp-content/uploads/2019/11/mac-n-cheese-recipes.jpg
Sorbet,T,T,T,T,F,F,F,F,F,F,F,F,https://www.thespruceeats.com/thmb/kiK8mkD25NVVu4ADg3SOM_CmXFo=/3709x2782/smart/filters:no_upscale()/basic-fruit-sorbets-recipe-4108541-hero-01-4a3ade7f2a88477d90fbfd6cd7b5dcc6.jpg
Milkshake,F,T,F,T,F,T,F,F,F,F,F,F,https://preppykitchen.com/wp-content/uploads/2021/04/Milkshake-Recipe-Card.jpg
Tiramisu,F,T,F,T,F,T,F,T,F,T,T,F,https://sallysbakingaddiction.com/wp-content/uploads/2019/06/homemade-tiramisu-2.jpg
